Name,Latitude,Longitude,Platform
Shimbashi Hoshino,35.6624582,139.7553081,Tabelog
Nihonbashi Kakigaracho Sugita,35.6818515,139.7849984,Tabelog
aca,35.6868636,139.7724807,Tabelog
Higashiazabu Amamoto,35.6573486,139.7434681,Tabelog
Matsukawa,35.6674621,139.7423903,Tabelog
Sushi Saitou,35.6656056,139.7394165,Tabelog
Sushi Arai,35.6680421,139.7627122,Tabelog
PELLEGRINO,35.648029,139.7184741,Tabelog
Ginza Shinohara,35.673039,139.7678421,Tabelog
Ao,35.6598526,139.7251681,Tabelog
Sazenka,35.6495836,139.7283406,Tabelog
Sawada,35.6704606,139.7652779,Tabelog
Mitani,35.6875649,139.7278518,Tabelog
Takiya,35.6555619,139.7346056,Tabelog
Quintessence,35.6239862,139.7333701,Tabelog
Sushi Nanba Hibiya,35.6737436,139.7591762,Tabelog
Kasahara,35.7063525,139.7397557,Tabelog
Akasaka Raimon,35.6768672,139.7362432,Tabelog
Shimazu,35.643222,139.7336488,Tabelog
Sushi Takamitsu,35.6474043,139.6951547,Tabelog
Trace,35.65808130000001,139.7515077,Tabelog
SUGALABO,35.6610343,139.7437607,Tabelog
Tori Shiki,35.6342653,139.7169019,Tabelog
Gourmandise,35.6580758,139.7239833,Tabelog
L'Effervescence,35.6602169,139.7194309,Tabelog
Suetomi,35.6619707,139.703795,Tabelog
L'OSIER,35.6698913,139.7617874,Tabelog
Nikuya Tanaka,35.6715901,139.7619561,Tabelog
Yamasaki,35.6617996,139.7232725,Tabelog
Sushi Sho,35.6856077,139.7282908,Tabelog
TACUBO,35.6508458,139.7060166,Tabelog
Japanese cuisine Seizan,35.6474922,139.739948,Tabelog
Kimoto,35.7063525,139.7397557,Tabelog
Makimura,35.5908393,139.7354263,Tabelog
Ginza Ooishi,35.6720816,139.7682929,Tabelog
SEZANNE,35.6779865,139.7669297,Tabelog
Hasegawa Minoru,35.6511293,139.7237414,Tabelog
ete,35.6706199,139.6834603,Tabelog
Gastronomy Joel Robuchon,35.6419011,139.7145339,Tabelog
Kabuto,35.7337706,139.7090115,Tabelog
Kagurazaka Ishikawa,35.70124089999999,139.7394364,Tabelog
Sushi Hashimoto,35.6729143,139.7744821,Tabelog
Sushi Akira,35.6452662,139.7222179,Tabelog
Chez Inno,35.6770691,139.7692033,Tabelog
Maki Tori Shin Kobe,35.6772902,139.7362154,Tabelog
Akasaka Ogino,35.6708882,139.7352853,Tabelog
Mitaka,35.6675596,139.753299,Tabelog
NK,35.7013408,139.7391271,Tabelog
CHIUnE,35.6793415,139.7371812,Tabelog
NARISAWA,35.6715648,139.7218885,Tabelog
Sanwa,35.6377436,139.7227802,Tabelog
Furuta,35.6725118,139.7707091,Tabelog
Iyuki,35.6706392,139.7719892,Tabelog
