Categories,Tabelog_Count,Tripadvisor_Count,Total_Count
Sushi,43.0,19.0,62.0
Kaiseki,41.0,2.0,43.0
Yakiniku,13.0,18.0,31.0
French,27.0,2.0,29.0
Bar,1.0,16.0,17.0
Chinese,10.0,4.0,14.0
Italian,7.0,7.0,14.0
Yakitori,10.0,3.0,13.0
Tempura,7.0,5.0,12.0
Ramen,2.0,9.0,11.0
Innovative,10.0,0.0,10.0
American,0.0,9.0,9.0
Izakaya,0.0,8.0,8.0
Sukiyaki,0.0,8.0,8.0
Steakhouse,0.0,8.0,8.0
Shabu-Shabu,0.0,7.0,7.0
Cafe,0.0,7.0,7.0
Tonkatsu,1.0,5.0,6.0
Teppanyaki,0.0,6.0,6.0
Brew Pub,0.0,5.0,5.0
Okonomiyaki,0.0,4.0,4.0
Seafood,0.0,4.0,4.0
Unagi,3.0,1.0,4.0
Tourist,0.0,4.0,4.0
International,0.0,3.0,3.0
Gyukatsu,0.0,3.0,3.0
Spain,3.0,0.0,3.0
Crab,3.0,0.0,3.0
Wagyu,0.0,3.0,3.0
Barbecue,0.0,3.0,3.0
Kushiyaki,0.0,3.0,3.0
Soba,1.0,1.0,2.0
Shabu-shabu,0.0,2.0,2.0
Shabu shabu,2.0,0.0,2.0
Beef dishes,2.0,0.0,2.0
Beef bowl,0.0,2.0,2.0
Contemporary,0.0,2.0,2.0
Monjayaki,0.0,2.0,2.0
Curry,1.0,1.0,2.0
Cake,2.0,0.0,2.0
Indian,0.0,2.0,2.0
Fine dining,0.0,2.0,2.0
Chicken dishes,2.0,0.0,2.0
Grill,0.0,1.0,1.0
Creative,1.0,0.0,1.0
Vegetarian friendly,0.0,1.0,1.0
Dojo nabe,0.0,1.0,1.0
Donburi,0.0,1.0,1.0
Tofu,0.0,1.0,1.0
Fugu,1.0,0.0,1.0
Street Food,0.0,1.0,1.0
Grilled tripe,1.0,0.0,1.0
Quick Bites,0.0,1.0,1.0
Gyoza,0.0,1.0,1.0
Steak,1.0,0.0,1.0
Healthy,0.0,1.0,1.0
Horumon,1.0,0.0,1.0
Sichuan Cuisine,1.0,0.0,1.0
Houseboat and cruising,1.0,0.0,1.0
Bread,1.0,0.0,1.0
Bistro,1.0,0.0,1.0
Irish,0.0,1.0,1.0
