Ranking,Name,URL,Rating,Price Range,Review Count,Nearest Station,Categories,Address,Reservation Only,Latitude,Longitude
1,Shimbashi Hoshino,https://tabelog.com/en/tokyo/A1314/A131401/13136847/,4.65,50000-59999,275,Onarimon Sta.,Japanese Cuisine,東京都港区新橋5-31-3,True,35.6624582,139.7553081
2,Nihonbashi Kakigaracho Sugita,https://tabelog.com/en/tokyo/A1302/A130204/13018162/,4.64,40000-49999,897,Suitengumae Sta.,Sushi,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,True,35.6818515,139.7849984
3,aca,https://tabelog.com/en/tokyo/A1302/A130202/13249117/,4.63,60000-79999,523,Mitsukoshimae Sta.,Spain,東京都中央区日本橋室町2-1-1 三井2号館,True,35.6868636,139.7724807
4,Higashiazabu Amamoto,https://tabelog.com/en/tokyo/A1314/A131401/13196420/,4.62,60000-79999,572,Akabanebashi Sta.,Sushi,東京都港区東麻布1-7-9 ザ・ソノビル 102,True,35.6573486,139.7434681
5,Matsukawa,https://tabelog.com/en/tokyo/A1307/A130701/13124391/,4.61,80000-99999,509,Roppongi Itchome Sta.,Japanese Cuisine,東京都港区赤坂1-11-6 赤坂テラスハウス １階,True,35.6674621,139.7423903
6,Sushi Saitou,https://tabelog.com/en/tokyo/A1308/A130802/13015251/,4.6,50000-59999,1236,Roppongi Itchome Sta.,Sushi,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,True,35.6656056,139.7394165
7,Sushi Arai,https://tabelog.com/en/tokyo/A1301/A130101/13188186/,4.59,50000-59999,898,Higashi Ginza Sta.,Sushi,東京都中央区銀座8-10-2 ルアンビル B1F 2F,False,35.6680421,139.7627122
8,PELLEGRINO,https://tabelog.com/en/tokyo/A1303/A130302/13072775/,4.59,100000-,310,Hiro o Sta.,Italian,東京都渋谷区恵比寿2-3-4,True,35.648029,139.7184741
9,Ginza Shinohara,https://tabelog.com/en/tokyo/A1301/A130101/13200949/,4.56,40000-49999,1209,Ginza Itchome Sta.,Japanese Cuisine,東京都中央区銀座2-8-17 ハビウル銀座2 B1,True,35.673039,139.7678421
10,Ao,https://tabelog.com/en/tokyo/A1307/A130701/13243463/,4.56,50000-59999,472,Roppongi Sta.,Innovative,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,True,35.6598526,139.7251681
11,Sazenka,https://tabelog.com/en/tokyo/A1307/A130703/13205298/,4.55,50000-59999,767,Hiro o Sta.,Chinese,東京都港区南麻布4-7-5,False,35.6495836,139.7283406
12,Sawada,https://tabelog.com/en/tokyo/A1301/A130101/13001043/,4.55,50000-59999,555,Ginza Sta.,Sushi,東京都中央区銀座5-9-19 ＭＣビル3Ｆ,True,35.6704606,139.7652779
13,Mitani,https://tabelog.com/en/tokyo/A1309/A130902/13042204/,4.54,50000-59999,315,Yotsuya Sta.,Sushi,東京都新宿区四谷1-22-1,True,35.6875649,139.7278518
14,Takiya,https://tabelog.com/en/tokyo/A1307/A130702/13185763/,4.53,40000-49999,361,Azabu Juban Sta.,Tempura,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,True,35.6555619,139.7346056
15,Quintessence,https://tabelog.com/en/tokyo/A1314/A131405/13159567/,4.52,30000-39999,1721,Kitashinagawa Sta.,French,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F,False,35.6239862,139.7333701
16,Sushi Nanba Hibiya,https://tabelog.com/en/tokyo/A1301/A130102/13219857/,4.52,50000-59999,878,Hibiya Sta.,Sushi,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,True,35.6737436,139.7591762
17,Kasahara,https://tabelog.com/en/tokyo/A1309/A130905/13266251/,4.52,20000-29999,424,Kagurazaka Sta.,Yakitori (Grilled chicken skewers),東京都新宿区東五軒町5-5 2F,True,35.7063525,139.7397557
18,Akasaka Raimon,https://tabelog.com/en/tokyo/A1308/A130801/13224635/,4.51,15000-19999,485,Akasaka Mitsuke Sta.,Yakiniku (BBQ Beef),東京都港区赤坂3-9-12 メトロビル 4F,True,35.6768672,139.7362432
19,Shimazu,https://tabelog.com/en/tokyo/A1316/A131602/13252991/,4.5,40000-49999,468,Shirokane Takanawa Sta.,Sushi,東京都港区白金1-29-13 白金ヴィレッジ 1F,True,35.643222,139.7336488
20,Sushi Takamitsu,https://tabelog.com/en/tokyo/A1317/A131701/13128483/,4.49,50000-59999,645,Naka Meguro Sta.,Sushi,東京都目黒区青葉台1-28-2 EXA 1F,False,35.6474043,139.6951547
21,Trace,https://tabelog.com/en/tokyo/A1307/A130703/13246316/,4.49,40000-49999,234,,Innovative,東京都港区,True,35.65808130000001,139.7515077
