Ranking,Name,URL,Rating,Price Range,Review Count,Nearest Station,Categories,Address,Reservation Only
1,Shimbashi Hoshino,https://tabelog.com/en/tokyo/A1314/A131401/13136847/,4.65,50000-59999,275,Onarimon Sta.,Japanese Cuisine,東京都港区新橋5-31-3,True
2,Nihonbashi Kakigaracho Sugita,https://tabelog.com/en/tokyo/A1302/A130204/13018162/,4.64,40000-49999,897,Suitengumae Sta.,Sushi,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,True
3,aca,https://tabelog.com/en/tokyo/A1302/A130202/13249117/,4.63,60000-79999,523,Mitsukoshimae Sta.,Spain,東京都中央区日本橋室町2-1-1 三井2号館,True
4,Higashiazabu Amamoto,https://tabelog.com/en/tokyo/A1314/A131401/13196420/,4.62,60000-79999,572,Akabanebashi Sta.,Sushi,東京都港区東麻布1-7-9 ザ・ソノビル 102,True
5,Matsukawa,https://tabelog.com/en/tokyo/A1307/A130701/13124391/,4.61,80000-99999,509,Roppongi Itchome Sta.,Japanese Cuisine,東京都港区赤坂1-11-6 赤坂テラスハウス １階,True
6,Sushi Saitou,https://tabelog.com/en/tokyo/A1308/A130802/13015251/,4.60,50000-59999,1236,Roppongi Itchome Sta.,Sushi,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,True
7,Sushi Arai,https://tabelog.com/en/tokyo/A1301/A130101/13188186/,4.59,50000-59999,898,Higashi Ginza Sta.,Sushi,東京都中央区銀座8-10-2 ルアンビル B1F 2F,False
8,PELLEGRINO,https://tabelog.com/en/tokyo/A1303/A130302/13072775/,4.59,100000-,310,Hiro o Sta.,Italian,東京都渋谷区恵比寿2-3-4,True
9,Ginza Shinohara,https://tabelog.com/en/tokyo/A1301/A130101/13200949/,4.56,40000-49999,1209,Ginza Itchome Sta.,Japanese Cuisine,東京都中央区銀座2-8-17 ハビウル銀座2 B1,True
10,Ao,https://tabelog.com/en/tokyo/A1307/A130701/13243463/,4.56,50000-59999,472,Roppongi Sta.,Innovative,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,True
11,Sazenka,https://tabelog.com/en/tokyo/A1307/A130703/13205298/,4.55,50000-59999,767,Hiro o Sta.,Chinese,東京都港区南麻布4-7-5,False
12,Sawada,https://tabelog.com/en/tokyo/A1301/A130101/13001043/,4.55,50000-59999,555,Ginza Sta.,Sushi,東京都中央区銀座5-9-19 ＭＣビル3Ｆ,True
13,Mitani,https://tabelog.com/en/tokyo/A1309/A130902/13042204/,4.54,50000-59999,315,Yotsuya Sta.,Sushi,東京都新宿区四谷1-22-1,True
14,Takiya,https://tabelog.com/en/tokyo/A1307/A130702/13185763/,4.53,40000-49999,361,Azabu Juban Sta.,Tempura,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,True
15,Quintessence,https://tabelog.com/en/tokyo/A1314/A131405/13159567/,4.52,30000-39999,1721,Kitashinagawa Sta.,French,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F,False
16,Sushi Nanba Hibiya,https://tabelog.com/en/tokyo/A1301/A130102/13219857/,4.52,50000-59999,878,Hibiya Sta.,Sushi,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,True
17,Kasahara,https://tabelog.com/en/tokyo/A1309/A130905/13266251/,4.52,20000-29999,424,Kagurazaka Sta.,Yakitori (Grilled chicken skewers),東京都新宿区東五軒町5-5 2F,True
18,Akasaka Raimon,https://tabelog.com/en/tokyo/A1308/A130801/13224635/,4.51,15000-19999,485,Akasaka Mitsuke Sta.,Yakiniku (BBQ Beef),東京都港区赤坂3-9-12 メトロビル 4F,True
19,Shimazu,https://tabelog.com/en/tokyo/A1316/A131602/13252991/,4.50,40000-49999,468,Shirokane Takanawa Sta.,Sushi,東京都港区白金1-29-13 白金ヴィレッジ 1F,True
20,Sushi Takamitsu,https://tabelog.com/en/tokyo/A1317/A131701/13128483/,4.49,50000-59999,645,Naka Meguro Sta.,Sushi,東京都目黒区青葉台1-28-2 EXA 1F,False
21,Trace,https://tabelog.com/en/tokyo/A1307/A130703/13246316/,4.49,40000-49999,234,,Innovative,東京都港区,True
22,SUGALABO,https://tabelog.com/en/tokyo/A1307/A130704/13182678/,4.48,50000-59999,746,Kamiyacho Sta.,Innovative,東京都港区麻布台1-11-10 日総ビル1F,False
23,Tori Shiki,https://tabelog.com/en/tokyo/A1316/A131601/13041029/,4.47,6000-7999,1287,Meguro Sta.,Yakitori (Grilled chicken skewers),東京都品川区上大崎2-14-12,False
24,Gourmandise,https://tabelog.com/en/tokyo/A1307/A130701/13190448/,4.47,30000-39999,351,Hiro o Sta.,Bistro,東京都港区西麻布3丁目17-23 プティコワン西麻布2F,True
25,L'Effervescence,https://tabelog.com/en/tokyo/A1306/A130602/13116356/,4.46,50000-59999,1583,Omote Sando Sta.,French,東京都港区西麻布2-26-4,False
26,Suetomi,https://tabelog.com/en/tokyo/A1303/A130301/13259485/,4.46,50000-59999,150,,Japanese Cuisine,東京都渋谷区,True
27,L'OSIER,https://tabelog.com/en/tokyo/A1301/A130101/13002607/,4.45,40000-49999,1404,Ginza Sta.,French,東京都中央区銀座7-5-5,True
28,Nikuya Tanaka,https://tabelog.com/en/tokyo/A1301/A130101/13237628/,4.45,60000-79999,365,Ginza Sta.,Beef dishes,東京都中央区銀座6-4-3 GICROS GINZA GEMS 9F,False
29,Yamasaki,https://tabelog.com/en/tokyo/A1307/A130701/13225691/,4.44,60000-79999,444,Nogizaka Sta.,Japanese Cuisine,東京都港区西麻布1-15-3 西麻布UOUビル 1F,False
30,Sushi Sho,https://tabelog.com/en/tokyo/A1309/A130902/13000852/,4.43,40000-49999,1065,Yotsuya Sta.,Sushi,東京都新宿区四谷1-11 陽臨堂ビル　１Ｆ,False
31,TACUBO,https://tabelog.com/en/tokyo/A1303/A130303/13109940/,4.43,40000-49999,956,Daikan yama Sta.,Italian,東京都渋谷区恵比寿西2-13-16 ラングス代官山 1F,True
32,Japanese cuisine Seizan,https://tabelog.com/en/tokyo/A1314/A131402/13127807/,4.42,40000-49999,1046,Tamachi Sta.,Japanese Cuisine,東京都港区三田2-17-29 グランデ三田 B1F,True
33,Kimoto,https://tabelog.com/en/tokyo/A1309/A130905/13226856/,4.42,80000-99999,421,Kagurazaka Sta.,Japanese Cuisine,東京都新宿区東五軒町5-5,True
34,Makimura,https://tabelog.com/en/tokyo/A1315/A131502/13003338/,4.42,30000-39999,357,Omorikaigan Sta.,Japanese Cuisine,東京都品川区南大井3-11-5 MAKIMURA BLD 1F,False
35,Ginza Ooishi,https://tabelog.com/en/tokyo/A1301/A130101/13238352/,4.41,40000-49999,727,Ginza Itchome Sta.,French,東京都中央区銀座2-10-11 マロニエ通り銀座館 2F,True
36,SEZANNE,https://tabelog.com/en/tokyo/A1302/A130201/13256878/,4.41,60000-79999,419,Kyobashi Sta.,French,東京都千代田区丸の内1-11-1 パシフィックセンチュリープレイス,False
37,Hasegawa Minoru,https://tabelog.com/en/tokyo/A1307/A130703/13220575/,4.41,50000-59999,254,Hiro o Sta.,Innovative,東京都港区南麻布4-5-66,True
38,ete,https://tabelog.com/en/tokyo/A1318/A131811/13249143/,4.41,100000-,119,Yoyogi Uehara Sta.,Innovative,東京都渋谷区西原3-23-1,True
39,Gastronomy Joel Robuchon,https://tabelog.com/en/tokyo/A1303/A130302/13009310/,4.40,100000-,1938,Ebisu Sta.,French,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス,False
40,Kabuto,https://tabelog.com/en/tokyo/A1305/A130501/13016660/,4.40,15000-19999,1219,Ikebukuro Sta.,Unagi (Eel),東京都豊島区池袋2-53-2 池袋ESビル 1F,True
41,Kagurazaka Ishikawa,https://tabelog.com/en/tokyo/A1309/A130905/13004079/,4.40,50000-59999,647,Ushigome Kagurazaka Sta.,Japanese Cuisine,東京都新宿区神楽坂5-37 高村ビル　１Ｆ,False
