Ranking,Name,URL,Rating,Price Range,Review Count,Categories,Address
1,Teppanyaki Sumiyaki Saito,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15801593-Reviews-Teppanyaki_Sumiyaki_Saito-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,705,"Japanese, Steakhouse",Teppanyaki Sumiyaki Saito
2,Gyopao Gyoza Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1666071-Reviews-Gyopao_Gyoza_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,3423,"Chinese, Asian",Gyopao Gyoza Roppongi
3,Downtown B’s Indian Kitchen,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12232966-Reviews-Downtown_B_s_Indian_Kitchen-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,377,"Indian, Asian",Downtown B’s Indian Kitchen
4,IPPUDO Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1659036-Reviews-IPPUDO_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,578,"Japanese, Asian",IPPUDO Roppongi
5,Niigata Yukimuro Jukusei Yakiniku Nikuine Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d19683159-Reviews-Niigata_Yukimuro_Jukusei_Yakiniku_Nikuine_Roppongi-Roppongi_Minato_Tokyo_Tokyo.html,4.9,,67,"Japanese, Barbecue",Niigata Yukimuro Jukusei Yakiniku Nikuine Roppongi
6,Jomon Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d877385-Reviews-Jomon_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.4,,441,"Japanese, Japanese - Other",Jomon Roppongi
7,Burger Revolution Tokyo Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d21375819-Reviews-Burger_Revolution_Tokyo_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,288,"American, Fast Food",Burger Revolution Tokyo Roppongi
8,Gluten Free T's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13202104-Reviews-Gluten_Free_T_s_Kitchen-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,398,"Japanese, Cafe",Gluten Free T's Kitchen
9,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1163632-Reviews-Hard_Rock_Cafe-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,601,"American, Bar",Hard Rock Cafe
10,Atelier Morimoto Xex,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688108-Reviews-Atelier_Morimoto_Xex-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,201,"Japanese, Sushi",Atelier Morimoto Xex
